"","X","kappa","alpha_pos","alpha_neg","phi","rho","rl_off","epsilon","not_pun_bonus","convergence","nll","ID"
"23",23,4.9999988312626,0.00617602494784188,0.0038873742941603,0.39346311381017,0.839135000837093,0.266884777310472,1.72683117119217e-10,0.305902103496137,0,193.124503997847,23
"24",24,4.62930588334688,0.0130335814490993,0.0220948049835423,1.84877685585377e-08,0.999999995044104,0.896969441656921,0.00745758952238689,0.307504509015725,0,143.728286265257,24
"25",25,4.8792780243373,0.00839958748704123,0.000495560895579016,0.308565823738091,0.959838971249266,0.696446461034099,0.0269768865821992,0.0620132854485827,0,206.569193172425,25
"26",26,4.99999911292073,0.00593388416240651,0.000270060706803446,0.35802521202829,0.744327715325813,0.747274357390892,1.53993088651722e-10,0.292763080927248,0,273.447514795965,26
"27",27,3.99999753093595,0.0038478919840637,0.00314814721256033,0.436895705462079,0.663200043265768,0.0248532985560771,0.0182882987329916,0.282769939841849,0,281.975099285236,27
"28",28,2.99999998300622,0.00773206144793866,6.72807458731355e-05,0.640488881935763,0.950693123032565,0.59412437374964,0.000589693394782922,0.279629563655111,0,265.231820353921,28
"29",29,4.96631051199562,0.00997725731668986,2.74044271448386e-07,0.0565022084847838,0.825759712508524,0.967104696589836,0.032044445894149,0.150573888247035,0,245.409356537385,29
"30",30,4.9999999197616,0.00678096824900874,0.0026232928841589,0.268335604883469,0.906707923182827,1.5425894089004e-09,0.00549894754739737,0.0520756758031988,0,135.38360902991,30
"31",31,4.99999196158252,0.00559697045409019,3.42584909942927e-10,0.0262537558159508,0.760156475932274,0.650844277530281,0.0291096858673974,0.102656305263261,0,272.492429673642,31
"32",32,4.00000195114727,0.0241327883737258,7.33535296639495e-05,0.122314255502146,0.759910368112054,0.981547430088077,0.0141235158750042,0.0466170850205071,0,169.776234162871,32
"33",33,2.99999877998872,0.0178354489462895,0.00327525649559473,0.352641631318846,0.995452664871515,0.898116545718893,0.00858269025869089,0.0711326685585998,0,153.880484828334,33
"34",34,4.99999991865601,0.0111822988619625,0.00612794288385702,0.0250125059477636,0.887717659885023,0.691401058040251,0.0101298813005882,0.101562202718564,0,150.673998298341,34
"35",35,3.34140736219845,0.00910423178892861,0.0104197497411393,0.00711443639884238,0.825126350252105,0.70993843508172,0.0293837573253872,0.0875171340344505,0,227.978708879554,35
"36",36,4.80247948806027,0.00844485222756296,1.14186941700149e-10,0.354062962300233,0.916827444918511,0.728614987516917,0.0102828760873023,0.311167610459168,0,211.894048227066,36
"37",37,4.99664513902776,0.00741505936324919,0.00898800329066971,0.181427054067537,0.682126367497833,0.132743491286124,0.00795535466472118,0.103286806542543,0,153.2646647598,37
