"","X","kappa","learning_bias","alpha_ck","phi","rho","ck_off","epsilon","not_pun_bonus","convergence","nll","ID"
"35",35,4.24334675783689,0.472293130091117,0.00857381106761971,0.226676830395916,0.837147613509229,6.46285012888036e-06,0.0395102899659975,0.0236851126021025,0,234.865214762878,35
"36",36,4.73566857012874,1.22523179531337e-09,0.0106084239986166,0.340599853519396,0.954849102828802,0.407512226252167,0.0110084861532259,0.312512275492506,0,209.487852773335,36
"37",37,4.99962254959914,5.83783774851694e-05,0.011897467958384,0.113326813421291,0.756658158626392,0.000152096281474106,0.00749445195111783,0.127328884240327,0,158.021823858311,37
"38",38,2.99999900949463,0.50076050546686,0.00710343336670993,0.474764293106511,0.613374695214667,0.429049140290989,9.68092163594582e-05,0.264486370586009,0,327.663243694611,38
"39",39,4.96980212233119,0.00821603927952987,0.0115221734787127,0.0447307390227689,0.866389569852894,0.53597827953603,0.0305590016050018,0.150816789938683,0,215.535014940597,39
"40",40,4.89645801794977,0.23966542106601,0.0118383520189249,0.0927665898118323,0.872055360622709,0.158096329785924,0.0281915380428941,0.134618837037536,0,191.17296170256,40
"41",41,4.00000024516419,0.328505656836652,0.0100341532983134,0.436595669581737,0.806254385239364,0.306957116894579,0.0114670027829233,0.0803116676482752,0,262.598367486397,41
"42",42,2.68380574160914,0.216539059575232,0.017298906149655,0.535456513565907,0.999999895805538,2.22105376626718e-07,4.73112041580562e-10,0.225549825226404,0,148.723866570329,42
"43",43,4.99999686308292,4.57160491662163e-07,0.0122925957706759,0.0198215477082513,0.95702029311284,6.99357003049987e-07,8.4692009088621e-12,0.303701956240216,0,129.82107435085,43
"44",44,4.99999987416168,1.34455301439302e-09,0.0141527623188056,1.89687358706099e-08,0.85295030003634,1.85178065183725e-10,0.00180478746200193,0.0203039424559304,0,114.080888188164,44
"45",45,3.0000009625414,0.99611984208623,0.00512800512523518,0.560271877203241,0.662247892800557,0.00280379718985589,8.13394541154243e-05,0.280460093234115,0,327.365160748217,45
"46",46,4.00000001866674,0.116892497545157,0.0103281368704294,0.310622577107876,0.794237636881221,0.00124290383214744,0.021368867402939,0.290892842772033,0,213.98312740224,46
"47",47,4.99999991789041,0.74864936432425,0.00900697577530678,7.8754491228327e-09,0.961818675930449,0.324850498509789,0.0276801048259387,0.323523985797344,0,232.559267420474,47
"48",48,4.98036036196553,0.0029213043336351,0.00946013527042584,0.12277557449661,0.749199225596165,0.0284130209629947,0.0231139952197539,0.315719999881661,0,215.698276824171,48
"49",49,4.99999997284191,4.36843832681316e-08,0.0100374758370242,0.184973826790169,0.879256019468575,0.0618715703618495,0.00489023103009953,0.27174594525817,0,164.54563638196,49
"50",50,4.99999997400986,0.183954964889651,0.0107751577927321,0.249064193752483,0.838940268255186,0.10248571932391,0.0193474468768373,0.324063338758981,0,209.016657392468,50
